Round,Tournament,Round_Label,Aff,Neg,Win,Aff_Mu_Before,Aff_Mu_After,Aff_Mu_Delta,Neg_Mu_Before,Neg_Mu_After,Neg_Mu_Delta
nu_3,nu,3,Southern California BR,Missouri State CT,Aff,19.012,21.788,2.776,17.282,14.735,-2.547
nu_3,nu,3,Western Kentucky CS,Emory BS (Bennett/Sanneh),Aff,17.282,20.234,2.952,17.282,14.329,-2.952
nu_3,nu,3,Macalester DD,Houston DF,Neg,17.282,14.329,-2.952,17.282,20.234,2.952
nu_3,nu,3,Michigan DS,Emory FW,Aff,17.282,20.234,2.952,17.282,14.329,-2.952
nu_3,nu,3,Michigan BH,Baylor LP,Aff,17.282,20.234,2.952,17.282,14.329,-2.952
nu_3,nu,3,Oklahoma AW,Baylor KB,Neg,17.282,14.329,-2.952,17.282,20.234,2.952
nu_3,nu,3,Michigan State AZ,Missouri State BK (Bodenhorn/Kimmerle),Aff,17.282,20.569,3.288,19.012,15.428,-3.584
nu_3,nu,3,Wake Forest DS,Southern California LK,Aff,17.282,20.234,2.952,17.282,14.329,-2.952
nu_3,nu,3,Dartmouth MM,Houston KS,Neg,17.282,14.329,-2.952,17.282,20.234,2.952
nu_3,nu,3,Cal State Fullerton AM,Gonzaga DW,Neg,25.039,21.907,-3.132,24.308,27.42,3.112
nu_4,nu,4,UTD KP,Southern California BrRe,Aff,29.766,31.033,1.267,22.74,21.473,-1.267
nu_4,nu,4,Kansas BS,Iowa BW,Aff,17.276,21.383,4.106,21.654,18.335,-3.319
nu_4,nu,4,Georgetown CW,Wake Forest CS,Aff,35.265,36.578,1.312,28.346,27.048,-1.298
nu_4,nu,4,Northwestern PS,Wake Forest BM,Aff,35.671,38.171,2.5,35.671,33.171,-2.5
nu_4,nu,4,Emory MR,Binghamton TC,Neg,34.096,31.662,-2.433,35.265,37.55,2.285
nu_4,nu,4,Oklahoma DT,Kentucky GS,Neg,18.292,15.801,-2.491,21.127,22.957,1.83
nu_4,nu,4,Kansas LS,Michigan BH,Aff,29.766,30.7,0.934,20.234,19.3,-0.934
nu_4,nu,4,CSU Long Beach OM,Michigan State AZ,Aff,29.766,30.741,0.975,20.569,19.6,-0.969
nu_4,nu,4,Emory GH,Kentucky AM,Aff,35.671,38.171,2.5,35.671,33.171,-2.5
nu_4,nu,4,Harvard GY,Emory LY,Aff,35.671,38.171,2.5,35.671,33.171,-2.5
nu_4,nu,4,Michigan SS,Dartmouth BC,Neg,35.265,32.798,-2.468,35.671,38.08,2.409
nu_4,nu,4,Kansas MR,Georgetown RS,Aff,35.671,38.171,2.5,35.671,33.171,-2.5
nu_4,nu,4,Southern California LK,Macalester DD,Aff,14.329,16.829,2.5,14.329,11.829,-2.5
nu_4,nu,4,Emory PO,Wake Forest DS,Aff,28.346,29.476,1.13,20.234,19.118,-1.115
nu_4,nu,4,Emory GY,Southern California BR,Aff,28.195,29.568,1.373,21.788,20.313,-1.475
nu_4,nu,4,Houston AK,Dartmouth CG,Aff,29.151,31.515,2.363,28.873,26.479,-2.394
nu_4,nu,4,Kansas WW,Northwestern AL,Aff,28.346,30.655,2.309,27.26,24.981,-2.279
nu_4,nu,4,Georgia IP,George Mason WR,Aff,28.346,30.868,2.522,28.346,25.824,-2.522
nu_4,nu,4,Emory CP,Macalester HK,Neg,28.346,26.102,-2.243,29.766,31.981,2.214
