Team,Debaters,Mu,Sigma,Aff_Mu,Aff_Sigma,Neg_Mu,Neg_Sigma,Aff_Rounds,Neg_Rounds,Conservative
Western Kentucky CS,Clementi & Shockley,17.167,2.27,18.832,3.315,13.289,3.751,10,10,10.359
Arizona State SS,Smith & Saxena,16.114,2.299,17.105,3.287,12.801,3.401,10,11,9.217
Rochester OR,Ozcayir & Rahman,15.547,2.808,17.548,3.762,17.076,4.164,7,7,7.123
Kansas State SR,Robertson & Spurlock,15.372,2.662,15.589,3.96,15.398,3.304,7,8,7.387
Navy LS,Lawrence & Satterfield,15.247,2.282,15.336,3.393,14.428,3.145,11,11,8.402
Cornell DL,Dye & Lim,15.092,2.554,17.589,3.598,11.082,4.194,7,8,7.429
Dartmouth MM,Morley & Mao,14.375,2.443,15.228,3.632,14.346,3.751,10,9,7.046
Northwestern RY,Ramesh & Ye,14.245,3.712,14.122,4.6,16.999,4.947,5,5,3.11
Harvard FK,Kundu & Facey,12.934,2.041,15.565,2.606,10.995,3.424,15,13,6.812
Indiana FM,Fish & Midithuri,10.698,3.47,12.357,3.687,10.433,4.15,12,9,0.288
