Round,Tournament,Round_Label,Aff,Neg,Win,Aff_Mu_Before,Aff_Mu_After,Aff_Mu_Delta,Neg_Mu_Before,Neg_Mu_After,Neg_Mu_Delta
nu_4,nu,4,Emory LY,Kansas HP,Aff,34.614,34.727,0.113,34.929,34.81,-0.12
nu_4,nu,4,Liberty CL,Northwestern AT,Neg,29.148,29.086,-0.062,33.131,33.196,0.065
nu_4,nu,4,Northwestern PS,Kansas OW,Aff,33.622,33.75,0.128,34.54,34.415,-0.125
nu_4,nu,4,Kansas State DR,Michigan CS,Neg,21.272,21.198,-0.073,28.056,28.096,0.04
nu_4,nu,4,Harvard FK,Kansas State DS,Neg,2.509,2.328,-0.181,10.286,10.345,0.059
nu_4,nu,4,Stanford LL,Iowa BS,Neg,30.209,29.93,-0.278,23.475,23.697,0.223
nu_4,nu,4,Georgetown LN,West Georgia KK,Neg,22.341,22.311,-0.029,30.44,30.488,0.048
nu_4,nu,4,Emory KS,Kentucky GS,Aff,33.34,33.427,0.088,30.942,30.865,-0.077
nu_4,nu,4,Wake Forest DE,Emory AS,Neg,26.529,26.436,-0.093,28.435,28.527,0.092
nu_4,nu,4,Georgia CK,UTD HK,Neg,26.515,26.435,-0.08,29.263,29.339,0.077
nu_4,nu,4,Macalester HW,UTD PR,Neg,23.885,23.792,-0.093,29.75,29.792,0.042
nu_4,nu,4,Kansas State AS,Emory RY,Neg,24.835,24.764,-0.071,32.097,32.13,0.033
nu_4,nu,4,Western Kentucky CF,CSU Long Beach ES,Aff,23.285,23.405,0.12,17.847,17.781,-0.066
nu_4,nu,4,Georgetown VP,Macalester CD,Aff,19.552,19.676,0.125,15.625,15.497,-0.129
nu_4,nu,4,Baylor BK,Wake Forest AB,Neg,25.249,25.141,-0.108,26.125,26.238,0.113
nu_4,nu,4,Emory OP,Missouri State HN,Aff,26.925,27.013,0.088,21.143,21.068,-0.075
nu_4,nu,4,George Mason RS,Gonzaga RW,Neg,15.95,15.901,-0.049,23.353,23.394,0.041
nu_4,nu,4,Michigan State FM,UC Berkeley MR,Neg,29.163,29.112,-0.051,34.064,34.122,0.058
nu_4,nu,4,Michigan HM,Binghamton TP,Aff,21.999,22.085,0.086,16.536,16.416,-0.12
nu_4,nu,4,Iowa KS,Northwestern LL,Neg,23.64,23.56,-0.079,26.968,27.042,0.073
nu_4,nu,4,Wyoming CH,Georgetown GT,Neg,19.405,19.354,-0.052,25.6,25.646,0.045
nu_4,nu,4,Missouri State CG,Emory SW,Neg,20.764,20.558,-0.206,21.238,21.428,0.19
nu_4,nu,4,Emory CG,Harvard AB,Neg,14.81,14.801,-0.008,27.791,27.8,0.008
nu_4,nu,4,Wake Forest SK,Georgetown KL,Neg,18.447,18.246,-0.201,19.693,19.851,0.159
nu_4,nu,4,North Texas VH,Oklahoma BW,Aff,15.561,15.657,0.096,9.28,9.14,-0.14
nu_4,nu,4,Indiana FT,Western Kentucky IP,Aff,14.103,14.338,0.236,16.691,16.25,-0.441
nu_5,nu,5,Wake Forest HN,Georgetown KL,Aff,26.187,26.232,0.045,19.851,19.784,-0.067
nu_5,nu,5,Wyoming WW,Baylor BK,Neg,20.032,19.968,-0.064,25.141,25.196,0.055
nu_5,nu,5,Emory CG,Michigan AM,Neg,14.801,14.763,-0.038,22.49,22.528,0.038
nu_5,nu,5,Michigan State FM,Kansas State DS,Aff,29.112,29.112,0.001,10.345,10.344,-0.001
nu_5,nu,5,Western Kentucky KN,Kansas HL,Aff,23.422,23.499,0.077,19.497,19.418,-0.08
nu_5,nu,5,Binghamton TP,CSU Long Beach ES,Neg,16.416,16.188,-0.228,17.781,17.906,0.126
nu_5,nu,5,Kansas BW,North Texas VH,Aff,28.098,28.106,0.007,15.657,15.638,-0.019
nu_5,nu,5,Arizona State SS,Dartmouth CG,Neg,21.406,21.35,-0.056,29.944,29.969,0.026
nu_5,nu,5,Michigan CS,Georgetown GT,Aff,28.096,28.184,0.088,25.646,25.558,-0.087
nu_5,nu,5,Georgetown VP,Trinity KP,Neg,19.676,19.54,-0.136,22.996,23.09,0.093
nu_5,nu,5,Georgetown LN,Wichita State GM,Neg,22.311,22.247,-0.064,26.558,26.621,0.062
nu_5,nu,5,Stanford LL,Harvard AB,Neg,29.93,29.752,-0.179,27.8,27.974,0.174
nu_5,nu,5,George Mason RS,Missouri State CG,Neg,15.901,15.818,-0.084,20.558,20.666,0.108
nu_5,nu,5,Kansas BM,Iowa KS,Aff,25.425,25.528,0.103,23.56,23.461,-0.099
nu_5,nu,5,Wake Forest SK,Baylor MP,Neg,18.246,17.998,-0.247,17.721,17.864,0.144
nu_5,nu,5,Michigan HM,Southern California BM,Neg,22.085,21.991,-0.094,27.004,27.067,0.063
nu_5,nu,5,Oklahoma BW,Harvard FK,Aff,9.14,9.264,0.123,2.328,2.116,-0.213
nu_5,nu,5,Iowa AP,Gonzaga RW,Aff,36.222,36.229,0.007,23.394,23.385,-0.009
nu_5,nu,5,George Mason DG,Kansas AU,Neg,27.527,27.436,-0.091,32.59,32.641,0.05
nu_5,nu,5,Kansas OW,Southern California BR,Aff,34.415,34.467,0.052,29.495,29.441,-0.055
